Handle,Title,Body (HTML),Vendor,Product Category,Product Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Compare At Price,Image Src,Published,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status,Collection
2024-25-clube-atlético-paranaense-home-soccer-jersey-size-s-xxl,2024-25 Clube Atlético Paranaense Home Soccer Jersey Size S-XXL,<p>Beautiful Soccer Jersey</p>,Gobbis,Vestuário e acessórios > Roupas > Uniformes > Uniformes esportivos,"Soccer, Jersey, 2024",Soccer,Photo Title,IMG_20240428_015716_Huang.jpg,Size,8,2024-25-clube-atlético-paranaense-home-soccer-jersey-size-s-xxl-IMG_202404,19.99,,https:https://photo.yupoo.com/alisports/8b59e3a8/55d4d0a0.jpg,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,2024-25 Clube Atlético Paranaense Home Soccer Jersey Size S-XXL,Purchase your 2024 Soccer Jerseys today!,active,"Soccer, Jersey, 2024"
2024-25-clube-atlético-paranaense-home-soccer-jersey-size-s-xxl,2024-25 Clube Atlético Paranaense Home Soccer Jersey Size S-XXL,<p>Beautiful Soccer Jersey</p>,Gobbis,Vestuário e acessórios > Roupas > Uniformes > Uniformes esportivos,"Soccer, Jersey, 2024",Soccer,Photo Title,IMG_20240428_015541_Huang.jpg,Size,8,2024-25-clube-atlético-paranaense-home-soccer-jersey-size-s-xxl-IMG_202404,19.99,,https:https://photo.yupoo.com/alisports/de3e6612/7a111384.jpg,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,2024-25 Clube Atlético Paranaense Home Soccer Jersey Size S-XXL,Purchase your 2024 Soccer Jerseys today!,active,"Soccer, Jersey, 2024"
2024-25-clube-atlético-paranaense-home-soccer-jersey-size-s-xxl,2024-25 Clube Atlético Paranaense Home Soccer Jersey Size S-XXL,<p>Beautiful Soccer Jersey</p>,Gobbis,Vestuário e acessórios > Roupas > Uniformes > Uniformes esportivos,"Soccer, Jersey, 2024",Soccer,Photo Title,IMG_20240428_015525_Huang.jpg,Size,8,2024-25-clube-atlético-paranaense-home-soccer-jersey-size-s-xxl-IMG_202404,19.99,,https:https://photo.yupoo.com/alisports/6461c400/67236bec.jpg,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,2024-25 Clube Atlético Paranaense Home Soccer Jersey Size S-XXL,Purchase your 2024 Soccer Jerseys today!,active,"Soccer, Jersey, 2024"
2024-25-clube-atlético-paranaense-home-soccer-jersey-size-s-xxl,2024-25 Clube Atlético Paranaense Home Soccer Jersey Size S-XXL,<p>Beautiful Soccer Jersey</p>,Gobbis,Vestuário e acessórios > Roupas > Uniformes > Uniformes esportivos,"Soccer, Jersey, 2024",Soccer,Photo Title,IMG_20240428_015408_Huang.jpg,Size,8,2024-25-clube-atlético-paranaense-home-soccer-jersey-size-s-xxl-IMG_202404,19.99,,https:https://photo.yupoo.com/alisports/8f785a6a/2d35c4dc.jpg,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,2024-25 Clube Atlético Paranaense Home Soccer Jersey Size S-XXL,Purchase your 2024 Soccer Jerseys today!,active,"Soccer, Jersey, 2024"
2024-25-clube-atlético-paranaense-home-soccer-jersey-size-s-xxl,2024-25 Clube Atlético Paranaense Home Soccer Jersey Size S-XXL,<p>Beautiful Soccer Jersey</p>,Gobbis,Vestuário e acessórios > Roupas > Uniformes > Uniformes esportivos,"Soccer, Jersey, 2024",Soccer,Photo Title,IMG_20240428_015356_Huang.jpg,Size,8,2024-25-clube-atlético-paranaense-home-soccer-jersey-size-s-xxl-IMG_202404,19.99,,https:https://photo.yupoo.com/alisports/fb58bf4c/de8d637f.jpg,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,2024-25 Clube Atlético Paranaense Home Soccer Jersey Size S-XXL,Purchase your 2024 Soccer Jerseys today!,active,"Soccer, Jersey, 2024"
2024-25-clube-atlético-paranaense-home-soccer-jersey-size-s-xxl,2024-25 Clube Atlético Paranaense Home Soccer Jersey Size S-XXL,<p>Beautiful Soccer Jersey</p>,Gobbis,Vestuário e acessórios > Roupas > Uniformes > Uniformes esportivos,"Soccer, Jersey, 2024",Soccer,Photo Title,IMG_20240428_015318_Huang.jpg,Size,8,2024-25-clube-atlético-paranaense-home-soccer-jersey-size-s-xxl-IMG_202404,19.99,,https:https://photo.yupoo.com/alisports/4d1b2e01/93318bdb.jpg,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,2024-25 Clube Atlético Paranaense Home Soccer Jersey Size S-XXL,Purchase your 2024 Soccer Jerseys today!,active,"Soccer, Jersey, 2024"
2024-25-clube-atlético-paranaense-home-soccer-jersey-size-s-xxl,2024-25 Clube Atlético Paranaense Home Soccer Jersey Size S-XXL,<p>Beautiful Soccer Jersey</p>,Gobbis,Vestuário e acessórios > Roupas > Uniformes > Uniformes esportivos,"Soccer, Jersey, 2024",Soccer,Photo Title,IMG_20240428_015213_Huang.jpg,Size,8,2024-25-clube-atlético-paranaense-home-soccer-jersey-size-s-xxl-IMG_202404,19.99,,https:https://photo.yupoo.com/alisports/d9fac240/f5852aae.jpg,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,2024-25 Clube Atlético Paranaense Home Soccer Jersey Size S-XXL,Purchase your 2024 Soccer Jerseys today!,active,"Soccer, Jersey, 2024"
2024-25-clube-atlético-paranaense-home-soccer-jersey-size-s-xxl,2024-25 Clube Atlético Paranaense Home Soccer Jersey Size S-XXL,<p>Beautiful Soccer Jersey</p>,Gobbis,Vestuário e acessórios > Roupas > Uniformes > Uniformes esportivos,"Soccer, Jersey, 2024",Soccer,Photo Title,IMG_20240428_014650_Huang.jpg,Size,8,2024-25-clube-atlético-paranaense-home-soccer-jersey-size-s-xxl-IMG_202404,19.99,,https:https://photo.yupoo.com/alisports/cc0c4c67/ec8a7aa3.jpg,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,2024-25 Clube Atlético Paranaense Home Soccer Jersey Size S-XXL,Purchase your 2024 Soccer Jerseys today!,active,"Soccer, Jersey, 2024"
2024-25-clube-atlético-paranaense-gold-soccer-jersey-size-s-xxl,2024-25 Clube Atlético Paranaense Gold Soccer Jersey Size S-XXL,<p>Beautiful Soccer Jersey</p>,Gobbis,Vestuário e acessórios > Roupas > Uniformes > Uniformes esportivos,"Soccer, Jersey, 2024",Soccer,Photo Title,IMG_20240428_020653_Huang.jpg,Size,7,2024-25-clube-atlético-paranaense-gold-soccer-jersey-size-s-xxl-IMG_202404,19.99,,https:https://photo.yupoo.com/alisports/7bdc64ef/a020f9f2.jpg,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,2024-25 Clube Atlético Paranaense Gold Soccer Jersey Size S-XXL,Purchase your 2024 Soccer Jerseys today!,active,"Soccer, Jersey, 2024"
2024-25-clube-atlético-paranaense-gold-soccer-jersey-size-s-xxl,2024-25 Clube Atlético Paranaense Gold Soccer Jersey Size S-XXL,<p>Beautiful Soccer Jersey</p>,Gobbis,Vestuário e acessórios > Roupas > Uniformes > Uniformes esportivos,"Soccer, Jersey, 2024",Soccer,Photo Title,IMG_20240428_020540_Huang.jpg,Size,7,2024-25-clube-atlético-paranaense-gold-soccer-jersey-size-s-xxl-IMG_202404,19.99,,https:https://photo.yupoo.com/alisports/636b47bb/86de9bd6.jpg,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,2024-25 Clube Atlético Paranaense Gold Soccer Jersey Size S-XXL,Purchase your 2024 Soccer Jerseys today!,active,"Soccer, Jersey, 2024"
